kp,kd,perception error,run time,xy error,z error
[100. 100.  50.  50.  50. 100.],[ 1.  1.  1. 10. 10. 10.],0,0.0,0.0,0.0
[100. 100.  50.  50.  50. 100.],[ 2.  2.  1. 10. 10. 10.],0,0.0,0.0,0.0
[100. 100.  50.  50.  50. 100.],[ 3.  3.  1. 10. 10. 10.],0,0.0,0.0,0.0
[800. 800.  50. 100. 100. 125.],[ 1.  1.  1. 10. 10. 10.],0,21.950000000000177,0.014230484148548795,0.056632014584933985
[800. 800.  50. 100. 100. 125.],[ 2.  2.  1. 10. 10. 10.],0,19.40000000000014,0.012077534240691544,0.007655905769519689
[800. 800.  50. 100. 100. 125.],[ 3.  3.  1. 10. 10. 10.],0,0.0,0.0,0.0
[1500. 1500.   50.  150.  150.  150.],[ 1.  1.  1. 10. 10. 10.],0,17.800000000000118,0.029822939514575514,0.11021650839776445
[1500. 1500.   50.  150.  150.  150.],[ 2.  2.  1. 10. 10. 10.],0,18.350000000000126,0.004413596963778374,0.09295705514963575
[1500. 1500.   50.  150.  150.  150.],[ 3.  3.  1. 10. 10. 10.],0,20.200000000000152,0.008729375651414925,0.012534732670823015
[100. 100.  50.  50.  50. 100.],[ 1.  1.  1. 10. 10. 10.],0,0.0,0.0,0.0
[100. 100.  50.  50.  50. 100.],[ 2.  2.  1. 10. 10. 10.],0,0.0,0.0,0.0
[100. 100.  50.  50.  50. 100.],[ 3.  3.  1. 10. 10. 10.],0,0.0,0.0,0.0
[800. 800.  50. 100. 100. 125.],[ 1.  1.  1. 10. 10. 10.],0,17.700000000000117,0.04409511145925157,0.07171386677324029
[800. 800.  50. 100. 100. 125.],[ 2.  2.  1. 10. 10. 10.],0,19.550000000000143,0.028624274327051426,0.10930691029960705
[800. 800.  50. 100. 100. 125.],[ 3.  3.  1. 10. 10. 10.],0,0.0,0.0,0.0
[1500. 1500.   50.  150.  150.  150.],[ 1.  1.  1. 10. 10. 10.],0,16.4500000000001,0.00043077764198878703,0.18229321607878451
[1500. 1500.   50.  150.  150.  150.],[ 2.  2.  1. 10. 10. 10.],0,18.60000000000013,0.014254777506356946,0.07626479660529012
[1500. 1500.   50.  150.  150.  150.],[ 3.  3.  1. 10. 10. 10.],0,20.450000000000156,0.007526482431750667,0.036378709601410736
